,game,model,experiment,episode,metric,value
39,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Average Word Count B,93.33
40,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Average Sentence Count A,14.2
41,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_6,Average Sentence Count B,20.0
42,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,n Turns,5.0
43,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Request Count,13.0
44,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Parsed Request Count,13.0
45,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Violated Request Count,0.0
46,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Request Success Ratio,1.0
47,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Success,1.0
48,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Lose,0.0
49,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Aborted,0.0
50,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Text Fail,0.0
51,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,JSON Fail,0.0
52,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Task Success Rate,1.0
53,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Main Score,100.0
54,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Summarisation Penatly,0.0
55,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Conversational turns A,5.0
56,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Conversational turns B,4.0
57,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Average Char Count A,264.4
58,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Average Char Count B,461.25
59,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Average Word Count A,47.6
60,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Average Word Count B,80.25
61,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Average Sentence Count A,13.65
62,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_8,Average Sentence Count B,16.82
63,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,n Turns,3.0
64,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Request Count,7.0
65,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Parsed Request Count,7.0
66,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Violated Request Count,0.0
67,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Request Success Ratio,1.0
68,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Success,1.0
69,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Lose,0.0
70,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Aborted,0.0
71,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Text Fail,0.0
72,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,JSON Fail,0.0
73,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Task Success Rate,1.0
74,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Main Score,100.0
75,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Summarisation Penatly,0.0
76,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Conversational turns A,3.0
77,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Conversational turns B,2.0
78,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Average Char Count A,139.33
79,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Average Char Count B,247.5
80,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Average Word Count A,25.67
81,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Average Word Count B,44.5
82,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Average Sentence Count A,11.08
83,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_5,Average Sentence Count B,21.62
84,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,n Turns,2.0
85,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Request Count,8.0
86,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Parsed Request Count,4.0
87,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Violated Request Count,4.0
88,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Request Success Ratio,0.5
89,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Success,0.0
90,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Lose,0.0
91,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Aborted,1.0
92,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Text Fail,1.0
93,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,JSON Fail,0.0
94,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Task Success Rate,0.0
95,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Main Score,
96,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Summarisation Penatly,0.0
97,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Conversational turns A,2.0
98,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Conversational turns B,1.0
99,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Average Char Count A,215.0
100,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Average Char Count B,285.0
101,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Average Word Count A,42.0
102,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Average Word Count B,53.0
103,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Average Sentence Count A,19.75
104,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_1,Average Sentence Count B,15.75
105,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,n Turns,3.0
106,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Request Count,7.0
107,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Parsed Request Count,7.0
108,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Violated Request Count,0.0
109,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Request Success Ratio,1.0
110,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Success,1.0
111,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Lose,0.0
112,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Aborted,0.0
113,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Text Fail,0.0
114,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,JSON Fail,0.0
115,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Task Success Rate,1.0
116,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Main Score,100.0
117,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Summarisation Penatly,0.0
118,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Conversational turns A,3.0
119,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Conversational turns B,2.0
120,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Average Char Count A,123.33
121,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Average Char Count B,278.0
122,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Average Word Count A,22.33
123,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Average Word Count B,49.5
124,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Average Sentence Count A,11.22
125,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_7,Average Sentence Count B,19.83
126,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,n Turns,5.0
127,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Request Count,13.0
128,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Parsed Request Count,13.0
129,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Violated Request Count,0.0
130,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Request Success Ratio,1.0
131,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Success,1.0
132,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Lose,0.0
133,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Aborted,0.0
134,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Text Fail,0.0
135,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,JSON Fail,0.0
136,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Task Success Rate,1.0
137,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Main Score,100.0
138,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Summarisation Penatly,0.0
139,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Conversational turns A,5.0
140,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Conversational turns B,4.0
141,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Average Char Count A,144.2
142,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Average Char Count B,362.5
143,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Average Word Count A,27.2
144,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Average Word Count B,65.75
145,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Average Sentence Count A,13.4
146,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_2,Average Sentence Count B,18.33
147,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,n Turns,4.0
148,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Request Count,10.0
149,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Parsed Request Count,10.0
150,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Violated Request Count,0.0
151,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Request Success Ratio,1.0
152,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Success,1.0
153,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Lose,0.0
154,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Aborted,0.0
155,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Text Fail,0.0
156,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,JSON Fail,0.0
157,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Task Success Rate,1.0
158,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Main Score,100.0
159,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Summarisation Penatly,0.0
160,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Conversational turns A,4.0
161,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Conversational turns B,3.0
162,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Average Char Count A,150.5
163,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Average Char Count B,205.67
164,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Average Word Count A,30.5
165,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Average Word Count B,38.33
166,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Average Sentence Count A,14.79
167,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_4,Average Sentence Count B,13.33
168,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,n Turns,5.0
169,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Request Count,14.0
170,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Parsed Request Count,13.0
171,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Violated Request Count,1.0
172,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Request Success Ratio,0.9285714285714286
173,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Success,0.0
174,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Lose,1.0
175,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Aborted,0.0
176,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Text Fail,0.0
177,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,JSON Fail,0.0
178,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Task Success Rate,0.8333333333333333
179,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Main Score,83.33333333333333
180,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Summarisation Penatly,0.0
181,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Conversational turns A,5.0
182,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Conversational turns B,4.0
183,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Average Char Count A,140.2
184,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Average Char Count B,437.5
185,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Average Word Count A,26.6
186,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Average Word Count B,77.5
187,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Average Sentence Count A,13.48
188,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_9,Average Sentence Count B,16.43
189,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,n Turns,3.0
190,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Request Count,7.0
191,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Parsed Request Count,7.0
192,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Violated Request Count,0.0
193,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Request Success Ratio,1.0
194,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Success,0.0
195,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Lose,1.0
196,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Aborted,0.0
197,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Text Fail,0.0
198,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,JSON Fail,0.0
199,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Task Success Rate,0.8333333333333333
200,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Main Score,83.33333333333333
201,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Summarisation Penatly,0.0
202,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Conversational turns A,3.0
203,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Conversational turns B,2.0
204,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Average Char Count A,180.0
205,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Average Char Count B,388.5
206,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Average Word Count A,33.0
207,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Average Word Count B,72.5
208,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Average Sentence Count A,11.4
209,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,2_reprompt_5db,episode_0,Average Sentence Count B,17.98
210,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,n Turns,3.0
211,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,Request Count,7.0
212,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,Parsed Request Count,7.0
213,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,Violated Request Count,0.0
214,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,Request Success Ratio,1.0
215,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,Success,0.0
216,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,Lose,1.0
217,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,Aborted,0.0
218,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,Text Fail,0.0
219,dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,1_no-reprompt_20db,episode_3,JSON Fail,0.0
